scenario_id,case_name,num_generators,time_horizon,objective,solve_time,gap,solver_status,termination_condition,feasible,error
60,case24,24,24,1016764.19812447,0.32597511692438275,0.000992484746743693,ok,optimal,True,
61,case24,24,24,939664.4601348976,0.3461396940983832,0.00013283639916368466,ok,optimal,True,
62,case24,24,24,1113809.6252351387,0.2565605310956016,0.0005386398024890446,ok,optimal,True,
63,case24,24,24,1123270.847396174,0.21405811805743724,0.0007933715450732763,ok,optimal,True,
64,case24,24,24,1077825.8422740882,0.1928852089913562,0.0006842414905015407,ok,optimal,True,
65,case24,24,24,981686.4384455886,0.35831208096351475,0.0005302717801973049,ok,optimal,True,
66,case24,24,24,1035423.2471965137,0.1833921050420031,0.0006696203046007664,ok,optimal,True,
67,case24,24,24,1128398.9695621007,0.2724145019892603,0.0004607829858917436,ok,optimal,True,
68,case24,24,24,1163536.3440490416,0.2255068029044196,0.0008270232463852123,ok,optimal,True,
69,case24,24,24,988138.7187403427,0.20727853593416512,0.00017550796380203927,ok,optimal,True,
70,case24,24,24,1000896.2502717586,0.1555927200242877,0.000995160966301949,ok,optimal,True,
71,case24,24,24,1043592.1976776271,0.33823292201850563,0.00038202229670725114,ok,optimal,True,
72,case24,24,24,1168830.5019723284,0.21581583097577095,0.0005280379224776764,ok,optimal,True,
73,case24,24,24,966329.7366524317,0.24634803005028516,6.3323065547727695e-06,ok,optimal,True,
74,case24,24,24,890869.4999623987,0.18996039009653032,0.0009557285902457804,ok,optimal,True,
75,case24,24,24,960674.0267546843,0.2379866240080446,0.0008254502326265011,ok,optimal,True,
76,case24,24,24,1061110.8372202849,0.19398315902799368,0.000391749895776544,ok,optimal,True,
77,case24,24,24,911955.7229575859,0.2854364940430969,0.0009306465890977263,ok,optimal,True,
78,case24,24,24,945309.8009184495,0.19332625402603298,0.0005534480635356056,ok,optimal,True,
79,case24,24,24,1071349.3560081671,0.22499629599042237,0.0005493760687957625,ok,optimal,True,
80,case24,24,24,936148.2122361555,0.21388370997738093,0.0009987187860156725,ok,optimal,True,
81,case24,24,24,893130.6005102651,0.15164889302104712,0.0004040247728532488,ok,optimal,True,
82,case24,24,24,994907.4200021075,0.29473484493792057,0.000995896171716524,ok,optimal,True,
83,case24,24,24,1082270.8318011598,0.20302775804884732,0.0006544869272552531,ok,optimal,True,
84,case24,24,24,938016.9271273161,0.3718425689730793,1.40651883739371e-06,ok,optimal,True,
85,case24,24,24,1050725.632124782,0.2350946170045063,0.00099743155417624,ok,optimal,True,
86,case24,24,24,954383.3291385614,0.25554601196199656,0.0009989435863038282,ok,optimal,True,
87,case24,24,24,1033179.4022994228,0.21079714596271515,0.0005953150942876936,ok,optimal,True,
88,case24,24,24,1018315.9961305886,0.2559264579322189,0.0009795853402006483,ok,optimal,True,
89,case24,24,24,993379.5983547996,0.3497487580170855,0.0007903210957356054,ok,optimal,True,
90,case24,24,24,1093303.2837805743,0.2086962650064379,0.0007754419586823354,ok,optimal,True,
91,case24,24,24,934665.7881278708,0.5113588769454509,0.0009617549041347564,ok,optimal,True,
92,case24,24,24,870732.151115037,0.24847838596906513,0.0005078593249509482,ok,optimal,True,
93,case24,24,24,1161510.1031578341,0.25030354293994606,0.0009985580307803749,ok,optimal,True,
94,case24,24,24,1216127.0367782535,0.31584247399587184,0.0003927436185545763,ok,optimal,True,
95,case24,24,24,1005141.4063979777,0.2308860239572823,0.000995053406860771,ok,optimal,True,
96,case24,24,24,983626.2028133719,0.2047299260739237,0.0008385695913988354,ok,optimal,True,
97,case24,24,24,967928.6069412158,0.211433710064739,0.0008030276891987379,ok,optimal,True,
98,case24,24,24,1151544.027441311,0.3865135449450463,0.0009988543360492424,ok,optimal,True,
99,case24,24,24,978285.9188694522,0.1943018549354747,0.0007103141879555229,ok,optimal,True,
